label,discipline,date
100 m garçons,Athlétisme,2026-11-01
100 m filles,Athlétisme,2026-11-02
Saut en longueur garçons,Athlétisme,2026-11-03
Saut en longueur filles,Athlétisme,2026-11-04
Relais mixte garçons,Athlétisme,2026-11-05
Relais mixte filles,Athlétisme,2026-11-06
Finale garçons,Aviron,2026-11-07
Finale filles,Aviron,2026-11-08
Finale garçons,Badminton,2026-11-09
Finale filles,Badminton,2026-11-10
Finale garçons,Basketball 3x3,2026-11-11
Finale filles,Basketball 3x3,2026-11-12
Poids plume garçons,Boxe,2026-11-13
Poids plume filles,Boxe,2026-11-01
Poids léger garçons,Boxe,2026-11-02
Poids léger filles,Boxe,2026-11-03
Finale garçons,Breaking,2026-11-04
Finale filles,Breaking,2026-11-05
Finale garçons,Canoë-kayak,2026-11-06
Finale filles,Canoë-kayak,2026-11-07
Contre-la-montre garçons,Cyclisme,2026-11-08
Contre-la-montre filles,Cyclisme,2026-11-09
Course en ligne garçons,Cyclisme,2026-11-10
Course en ligne filles,Cyclisme,2026-11-11
Finale garçons,Équitation,2026-11-12
Finale filles,Équitation,2026-11-13
Finale garçons,Escalade sportive,2026-11-01
Finale filles,Escalade sportive,2026-11-02
Fleuret individuel garçons,Escrime,2026-11-03
Fleuret individuel filles,Escrime,2026-11-04
Épée individuelle garçons,Escrime,2026-11-05
Épée individuelle filles,Escrime,2026-11-06
Finale garçons,Football,2026-11-07
Finale filles,Football,2026-11-08
Finale garçons,Golf,2026-11-09
Finale filles,Golf,2026-11-10
Finale garçons,Gymnastique artistique,2026-11-11
Finale filles,Gymnastique artistique,2026-11-12
Finale garçons,Haltérophilie,2026-11-13
Finale filles,Haltérophilie,2026-11-01
Finale garçons,Handball,2026-11-02
Finale filles,Handball,2026-11-03
Finale garçons,Hockey sur gazon,2026-11-04
Finale filles,Hockey sur gazon,2026-11-05
-60 kg garçons,Judo,2026-11-06
-60 kg filles,Judo,2026-11-07
-48 kg garçons,Judo,2026-11-08
-48 kg filles,Judo,2026-11-09
Épreuve par équipes mixtes garçons,Judo,2026-11-10
Épreuve par équipes mixtes filles,Judo,2026-11-11
Finale garçons,Karaté,2026-11-12
Finale filles,Karaté,2026-11-13
Finale garçons,Lutte,2026-11-01
Finale filles,Lutte,2026-11-02
50 m nage libre garçons,Natation,2026-11-03
50 m nage libre filles,Natation,2026-11-04
100 m dos garçons,Natation,2026-11-05
100 m dos filles,Natation,2026-11-06
200 m 4 nages garçons,Natation,2026-11-07
200 m 4 nages filles,Natation,2026-11-08
Finale garçons,Pentathlon moderne,2026-11-09
Finale filles,Pentathlon moderne,2026-11-10
Finale garçons,Rugby à sept,2026-11-11
Finale filles,Rugby à sept,2026-11-12
Finale garçons,Skateboard,2026-11-13
Finale filles,Skateboard,2026-11-01
-55 kg garçons,Taekwondo,2026-11-02
-55 kg filles,Taekwondo,2026-11-03
-63 kg garçons,Taekwondo,2026-11-04
-63 kg filles,Taekwondo,2026-11-05
Simple garçons,Tennis,2026-11-06
Simple filles,Tennis,2026-11-07
Double mixte garçons,Tennis,2026-11-08
Double mixte filles,Tennis,2026-11-09
Finale garçons,Tennis de table,2026-11-10
Finale filles,Tennis de table,2026-11-11
Finale garçons,Tir,2026-11-12
Finale filles,Tir,2026-11-13
Finale garçons,Tir à l'arc,2026-11-01
Finale filles,Tir à l'arc,2026-11-02
Finale garçons,Triathlon,2026-11-03
Finale filles,Triathlon,2026-11-04
Finale garçons,Voile,2026-11-05
Finale filles,Voile,2026-11-06
Finale garçons,Volleyball de plage,2026-11-07
Finale filles,Volleyball de plage,2026-11-08
